depth,velocity
0.0,5053.805936000001
32.8084,5054.13402
65.6168,5054.790188
98.4252,5034.120896
164.042,4997.703571999999
246.063,4985.564464
328.084,4981.95554
410.105,4979.987036
492.126,4978.018532
656.168,4975.721944
820.21,4975.39386
984.252,4974.409608
1312.336,4975.065776
1640.42,4977.690448
1968.504,4980.971288
2296.588,4985.23638
2624.672,4990.15764
2952.756,4995.406983999999
3280.84,5000.328243999999
3608.924,5005.577588
3937.008,5010.826932
4265.092,5016.4043599999995
4593.176,5021.981788
4921.26,5027.559216000001
5741.47,5041.666828
6561.68,5055.77444
